,Country,Year,Age Group,Both sexes,Male,Female,Both sexes.1,Male.1,Female.1
173,Togo,2010,18+  years,10.4,9.9,11.0,8.7 [7.3-10.4],7.6 [5.8-9.7],9.8 [7.6-12.4]
174,Tonga,2010,18+  years,21.6,13.3,30.0,21.6 [19.4-23.9],12.8 [10.3-15.7],29.9 [26.5-33.6]
175,Trinidad and Tobago,2010,18+  years,41.5,30.1,52.9,41.7 [38.8-44.7],29.9 [25.9-34.1],53.1 [49.1-57.1]
176,Tunisia,2010,18+  years,23.5,19.7,27.3,22.6 [6.1-56.4],18.6 [5.4-52.9],26.6 [7.4-61.3]
177,Turkey,2010,18+  years,32.8,28.1,37.5,32.3 [9.9-69.5],27.1 [8.8-67.1],37.1 [11.8-73.5]
181,Ukraine,2010,18+  years,12.2,11.6,12.7,14.4 [3.2-38.2],12.2 [3-38],16.2 [3.5-39.8]
182,United Arab Emirates,2010,18+  years,38.4,32.2,44.6,30.2 [9.6-70.9],27 [8.8-68.5],39.4 [12.9-77.4]
183,United Kingdom of Great Britain and Northern Ireland,2010,18+  years,37.3,32.3,42.4,40 [38.6-41.4],35.4 [33.5-37.3],44.3 [42.2-46.5]
184,United Republic of Tanzania,2010,18+  years,6.9,6.1,7.6,5.5 [4.6-6.5],4.6 [3.4-5.9],6.4 [4.8-8.3]
185,United States of America,2010,18+  years,32.4,25.4,39.3,35 [32.5-37.6],27.6 [24.3-31],42.1 [38.3-46]
186,Uruguay,2010,18+  years,31.7,26.2,37.3,34.2 [28.7-40.1],27.4 [19.6-36.6],40.3 [32.9-48.1]
187,Uzbekistan,2010,18+  years,19.2,13.6,24.9,18.1 [15.9-20.5],11.8 [8.9-15.3],24.1 [20.9-27.5]
188,Vanuatu,2010,18+  years,8.4,7.4,9.4,7.1 [6.2-8.1],6 [4.9-7.4],8.1 [6.7-9.7]
190,Viet Nam,2010,18+  years,23.9,22.1,25.8,23.6 [16.2-32.5],21 [11.2-34.5],26 [15.7-39]
192,Zambia,2010,18+  years,20.5,17.3,23.7,17.7 [4.3-48.7],14.7 [3.9-46.4],20.6 [5.1-52.9]
193,Zimbabwe,2010,18+  years,22.4,18.7,26.1,19.7 [4.9-51],15.3 [4.1-45.5],23.8 [6.1-57.1]
