,,,"Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Kuwait","2010","18+  years","56.6 [54.3-58.8]","49.2 [45.1-53.4]","63.9 [61.2-66.5]","53.6 [51.4-55.8]","48.3 [44.1-52.5]","62.8 [60.2-65.4]"
"Kyrgyzstan","2010","18+  years","13.3 [11.7-15]","10.4 [7.7-13.8]","16.1 [14.1-18.4]","12.3 [10.7-14.1]","9.1 [6.4-12.5]","15.3 [13.3-17.6]"
"Lao People's Democratic Republic","2010","18+  years","10.3 [8.7-12.1]","4.7 [3.6-6]","16 [12.2-20.5]","9 [7.4-10.8]","3.1 [2.1-4.5]","14.6 [10.9-19.1]"
"Latvia","2010","18+  years","22 [5.5-56.6]","18.3 [5-52.9]","25.6 [6.5-60.9]","23.8 [5.9-58.3]","19.3 [5.3-54.4]","27.3 [7-62.7]"
"Lebanon","2010","18+  years","38.8 [33.1-44.7]","43.9 [35.7-52.3]","33.8 [25.9-42.3]","39.1 [33.5-45]","43.7 [35.6-52.2]","34.2 [26.4-42.7]"
"Lesotho","2010","18+  years","7.2 [6-8.6]","7.5 [5.4-10.5]","7 [5.6-8.7]","6.1 [4.9-7.5]","5.8 [3.8-8.9]","6.3 [4.9-8]"
"Liberia","2010","18+  years","27.5 [23.7-31.7]","24.5 [18.7-31]","30.6 [25.5-36.2]","25.9 [22-30]","22.4 [16.7-29]","29.3 [24.1-34.9]"
"Libya","2010","18+  years","38 [34.8-41.4]","32.8 [28.9-37]","43.3 [37.8-48.9]","36.6 [33.3-39.9]","31 [27-35.1]","42.3 [36.8-47.9]"
"Lithuania","2010","18+  years","18.4 [12.3-25.6]","16.1 [8.8-26]","20.6 [11.4-32.2]","20.2 [14.1-27.4]","16.6 [9.3-26.5]","23.1 [13.9-34.7]"
"Luxembourg","2010","18+  years","28.5 [8-65]","26.6 [8.4-65.2]","30.4 [8.4-66.9]","30 [8.5-66.5]","28.2 [9-66.8]","31.7 [8.8-68.1]"
"Madagascar","2010","18+  years","17.9 [15.1-21.2]","13.7 [10.4-17.8]","22.2 [17.6-27.5]","16 [13.1-19.2]","11.7 [8.4-15.8]","20.1 [15.5-25.4]"
"Malawi","2010","18+  years","7.5 [6.6-8.5]","5.6 [4.3-7.4]","9.4 [8.2-10.7]","6.2 [5.3-7.2]","4.3 [3-6.1]","8 [6.9-9.4]"
"Malaysia","2010","18+  years","52.3 [47.1-57.6]","46.7 [39.1-54.4]","58 [50.7-65]","51.6 [46.3-56.8]","45.6 [38-53.4]","57.2 [50-64.3]"
"Maldives","2010","18+  years","30.7 [6.5-54.6]","25.8 [5.9-51.1]","35.5 [8.1-60.2]","30.3 [6.2-53.8]","24.2 [5.3-48.4]","36.3 [8.1-60.7]"
"Mali","2010","18+  years","23.7 [6.7-58.2]","18.2 [5.1-52]","29.1 [8.3-64]","21.2 [5.5-54.6]","16.2 [4.3-49.2]","26 [7-60.5]"
"Malta","2010","18+  years","42.9 [14.9-79.4]","38.6 [14.2-78.6]","47.2 [17.1-81.8]","45.2 [16-80.7]","40.3 [15-79.6]","49.9 [18.6-83.2]"
"Marshall Islands","2010","18+  years","44.5 [39.4-49.7]","38 [30.8-45.6]","51.1 [43.9-58.3]","47.6 [42.5-52.8]","41.2 [34.1-48.8]","53.9 [46.8-61.1]"
"Mauritania","2010","18+  years","45.1 [16.5-81.1]","38 [14.2-78.2]","52.1 [20.8-85.1]","42.5 [15-79.7]","35.3 [12.8-76.4]","49.7 [19.2-84]"
"Mauritius","2010","18+  years","25.2 [7-60]","23.1 [7-60.4]","27.3 [7.5-61.9]","25.4 [7-60.3]","22.7 [6.9-60.2]","27.9 [7.7-62.6]"
"Mexico","2010","18+  years","26 [20.5-32.1]","20.3 [13.1-29.1]","31.8 [23.7-40.5]","25.4 [19.9-31.5]","18.9 [11.8-27.8]","31.2 [23.1-39.9]"
"Micronesia (Federated States of)","2010","18+  years","36 [33-39.1]","31.1 [26.6-35.9]","40.9 [36.8-45.1]","36.6 [33.6-39.7]","32 [27.5-36.8]","41.4 [37.3-45.6]"
"Monaco","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Mongolia","2010","18+  years","21.4 [18.5-24.5]","19.6 [15.8-23.8]","23.2 [18.8-28.1]","19.6 [16.8-22.8]","17.5 [13.8-21.7]","21.7 [17.4-26.6]"
"Montenegro","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Morocco","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Mozambique","2010","18+  years","5.8 [4.2-8.1]","5.5 [3.3-9]","6.2 [4-9.7]","4.8 [3.1-7.1]","4.3 [2.2-7.9]","5.2 [3-8.7]"
"Myanmar","2010","18+  years","9.9 [8.3-11.8]","8.3 [6.2-10.9]","11.6 [9.2-14.3]","9 [7.4-10.9]","7.2 [5.1-9.8]","10.7 [8.4-13.5]"
"Namibia","2010","18+  years","31.8 [9.7-69.5]","26.4 [8.4-65.8]","37.1 [11.7-73.8]","29.7 [8.7-67.3]","23.9 [7.4-63.2]","34.8 [10.7-72.2]"
"Nauru","2010","18+  years","40.7 [38.2-43.2]","36.4 [33-39.9]","45 [41.5-48.5]","44.2 [41.8-46.7]","40.5 [37.2-44.1]","47.9 [44.4-51.4]"
"Nepal","2010","18+  years","4.1 [3.7-4.6]","4.5 [3.3-6.3]","3.7 [3.3-4.2]","3.3 [2.9-3.8]","3.9 [2.7-5.7]","2.8 [2.4-3.2]"
"Netherlands","2010","18+  years","15.5 [3.5-42.1]","14 [3.6-42.2]","17 [3.8-44.3]","17.9 [4.1-46.4]","16 [4.2-46.3]","19.7 [4.5-48.9]"
"New Zealand","2010","18+  years","39.8 [37.5-42]","35.8 [32.9-38.8]","43.7 [40.3-47.2]","40.7 [38.5-43]","36.8 [33.9-39.8]","44.4 [41-47.9]"
"Nicaragua","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Niger","2010","18+  years","25.1 [20.8-29.9]","23.3 [17.8-29.5]","27 [20.3-34.7]","23 [18.8-27.8]","21.2 [15.7-27.5]","24.8 [18.1-32.6]"
"Nigeria","2010","18+  years","22.3 [8.5-66.3]","20.6 [9.3-67.4]","24 [8.4-66.7]","19.8 [7.5-63.9]","17.7 [7.9-64.3]","21.9 [7.8-65.3]"
"Niue","2010","18+  years","5.6 [4.1-7.5]","6.7 [4.8-9.4]","4.6 [2.4-7.3]","7.1 [5.6-9]","8.1 [6.2-10.8]","6.1 [3.9-8.9]"
"Norway","2010","18+  years","25.8 [7-61]","22.9 [7-59.9]","28.8 [8-64.5]","28.8 [8.1-63.7]","25 [7.9-62.5]","32.5 [9.4-67.4]"
"Oman","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Pakistan","2010","18+  years","26 [7.2-62]","20.2 [5.9-56.3]","31.7 [9.2-68]","24 [6.5-60]","18.5 [5.3-54]","29.7 [8.4-66.4]"
"Palau","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Panama","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Papua New Guinea","2010","18+  years","14.7 [13-16.4]","11.8 [9.3-15]","17.5 [15.4-19.8]","12 [10.4-13.8]","9.2 [6.6-12.3]","14.8 [12.8-17.2]"
"Paraguay","2010","18+  years","24.6 [6.6-59.6]","22.1 [6.6-59.4]","27 [7.2-62.2]","23.3 [6.2-58.3]","20.8 [6.1-57.9]","25.9 [6.9-61.1]"
"Peru","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Philippines","2010","18+  years","15.8 [3.6-44.2]","13.1 [3.4-41.3]","18.6 [4.3-48.7]","14.4 [3.3-42.2]","11.5 [2.9-38.9]","17.3 [4-47.1]"
"Poland","2010","18+  years","18.7 [4.7-50.4]","13.6 [3.4-42.5]","23.8 [6-57]","20.5 [5.1-52.7]","14.4 [3.6-44.1]","26 [6.7-59.7]"
"Portugal","2010","18+  years","34.9 [10.8-72]","31.4 [10.7-70.8]","38.5 [12.1-75.1]","37.3 [11.7-73.9]","33.5 [11.6-72.7]","40.8 [13-76.6]"
"Qatar","2010","18+  years","41.6 [38.1-45.1]","33.4 [28.9-38.3]","49.7 [44.6-54.8]","33.3 [29.8-36.8]","29.9 [25.3-34.8]","46.9 [41.8-52]"
"Republic of Korea","2010","18+  years","33.4 [10.2-71]","28.9 [9.5-69.2]","37.9 [12.1-74.5]","34.7 [10.7-71.9]","29.4 [9.6-69.7]","39.7 [13-75.9]"
"Republic of Moldova","2010","18+  years","12.3 [11-13.7]","12.9 [10.4-15.8]","11.7 [10.2-13.3]","13 [11.7-14.4]","12.8 [10.3-15.6]","13.2 [11.7-14.8]"
"Romania","2010","18+  years","25.3 [6.8-61.7]","18.9 [5.1-55]","31.8 [9-68.2]","26.5 [7-62.6]","19.1 [5.2-55.3]","33.3 [9.5-69.5]"
"Russian Federation","2010","18+  years","9.5 [6.8-12.8]","10.2 [6.8-14.8]","8.8 [4.8-13.8]","11.1 [8.4-14.4]","10.1 [6.6-14.7]","12 [8-16.9]"
"Rwanda","2010","18+  years","15.3 [14-16.7]","12 [10.3-14]","18.6 [16.8-20.5]","13.6 [12.4-15]","10 [8.2-12]","17 [15.2-18.9]"
"Saint Kitts and Nevis","2010","18+  years","32.4 [25.9-39.4]","22.7 [14.2-33.2]","42 [32.9-51.7]","37.3 [30.8-44.4]","28 [19.5-38.5]","46.6 [37.5-56.3]"
